YEAR,temp_above_90,humidity_above_90,humidity_below_10,U_Wet-Hot,U_Dry-Hot,Name,,YEAR2,temp_above_90,humidity_above_90,humidity_below_10,R_Wet-Hot,R_Dry-Hot,Name2
2004,14,7,12,4,0,n5,,2004,13,8,15,5,0,n5
2005,30,14,10,10,0,n5,,2005,33,16,10,11,1,n5
2006,22,12,11,8,0,n5,,2006,22,9,11,7,0,n5
2007,17,23,3,9,0,n5,,2007,24,22,4,10,0,n5
2008,15,17,13,7,0,n5,,2008,17,16,13,7,0,n5
2009,20,16,10,9,0,n5,,2009,21,16,12,9,0,n5
2010,29,28,8,20,0,n5,,2010,28,26,6,18,0,n5
2011,23,13,18,8,0,n5,,2011,21,14,19,6,0,n5
2012,12,11,8,8,0,n5,,2012,11,10,7,5,0,n5
2013,58,9,14,6,1,n5,,2013,59,9,14,6,0,n5
2014,10,3,11,1,0,n5,,2014,8,4,13,1,0,n5
2015,10,8,14,3,0,n5,,2015,9,8,14,2,0,n5
2016,21,28,10,14,0,n5,,2016,21,27,9,14,0,n5
2017,34,16,10,8,0,n5,,2017,32,22,10,10,0,n5
2018,16,23,8,10,0,n5,,2018,17,23,5,10,0,n5
2019,10,11,17,7,0,n5,,2019,14,11,18,8,0,n5
2020,16,24,15,9,0,n5,,2020,17,24,13,8,0,n5
2021,23,28,3,12,0,n5,,2021,23,27,3,14,0,n5
2022,35,23,13,16,0,n5,,2022,34,23,11,15,0,n5
1981,10,14,23,4,0,n6_1,,1981,9,13,17,4,0,n6_1
1982,2,20,20,2,0,n6_1,,1982,4,17,21,3,0,n6_1
1983,12,15,18,4,0,n6_1,,1983,15,14,15,4,0,n6_1
1984,10,13,5,4,0,n6_1,,1984,13,14,5,5,0,n6_1
1985,8,11,2,4,0,n6_1,,1985,8,14,3,4,0,n6_1
1986,8,8,13,4,0,n6_1,,1986,10,6,15,3,0,n6_1
1987,18,25,26,12,0,n6_1,,1987,20,27,24,11,0,n6_1
1988,18,14,14,8,2,n6_1,,1988,17,13,15,7,1,n6_1
1989,7,17,19,6,0,n6_1,,1989,11,16,20,8,0,n6_1
1990,19,16,9,5,1,n6_1,,1990,16,15,11,5,1,n6_1
1991,18,24,12,11,0,n6_1,,1991,20,22,14,11,0,n6_1
1992,12,9,25,2,0,n6_1,,1992,9,7,27,2,0,n6_1
1993,12,22,15,9,0,n6_1,,1993,12,21,20,6,0,n6_1
1994,18,17,20,10,0,n6_1,,1994,19,16,22,7,0,n6_1
1995,16,11,26,4,2,n6_1,,1995,18,11,24,5,1,n6_1
1996,7,10,6,5,0,n6_1,,1996,8,12,6,4,0,n6_1
1997,13,16,18,7,0,n6_1,,1997,13,12,21,6,1,n6_1
1998,15,25,8,7,0,n6_1,,1998,16,26,6,7,0,n6_1
1999,7,16,10,5,0,n6_1,,1999,7,14,11,6,0,n6_1
2000,11,15,9,4,0,n6_1,,2000,10,16,15,3,0,n6_1
2001,7,9,6,1,0,n6_1,,2001,5,9,5,1,0,n6_1
2002,6,14,7,2,0,n6_1,,2002,9,13,10,4,0,n6_1
2003,30,15,11,9,0,n6_1,,2003,32,12,10,5,0,n6_1
2004,18,7,32,4,5,n6_1,,2004,12,9,24,4,1,n6_1
2005,29,8,12,5,1,n6_1,,2005,26,5,11,2,1,n6_1
2006,16,9,10,1,0,n6_1,,2006,15,12,11,1,0,n6_1
2007,27,15,12,5,5,n6_1,,2007,21,12,10,5,2,n6_1
2008,24,22,16,12,1,n6_1,,2008,20,21,17,9,0,n6_1
2009,19,11,16,3,2,n6_1,,2009,14,11,12,5,1,n6_1
2010,26,15,6,8,0,n6_1,,2010,26,18,5,6,0,n6_1
2011,25,16,22,7,1,n6_1,,2011,20,16,16,7,0,n6_1
2012,10,9,5,1,0,n6_1,,2012,9,7,7,0,0,n6_1
2013,42,16,30,6,15,n6_1,,2013,40,21,34,6,18,n6_1
2014,4,9,8,1,0,n6_1,,2014,5,12,8,1,0,n6_1
2015,3,12,21,3,0,n6_1,,2015,7,11,24,4,0,n6_1
2016,21,23,9,9,0,n6_1,,2016,21,22,10,8,1,n6_1
2017,26,18,7,7,1,n6_1,,2017,29,15,10,7,5,n6_1
2018,15,31,8,10,0,n6_1,,2018,13,29,11,9,0,n6_1
2019,5,13,16,2,0,n6_1,,2019,9,8,20,1,0,n6_1
2020,14,23,7,9,0,n6_1,,2020,14,26,5,9,0,n6_1
2021,15,29,4,7,0,n6_1,,2021,16,29,5,8,0,n6_1
2022,32,10,10,4,2,n6_1,,2022,36,11,9,5,2,n6_1
1981,9,11,21,5,0,n6_2,,1981,10,11,18,6,0,n6_2
1982,5,14,19,4,0,n6_2,,1982,5,17,21,3,0,n6_2
1983,15,16,17,8,0,n6_2,,1983,16,15,14,6,0,n6_2
1984,13,17,7,9,0,n6_2,,1984,15,10,6,5,0,n6_2
1985,7,11,6,3,0,n6_2,,1985,7,12,1,4,0,n6_2
1986,7,5,18,3,0,n6_2,,1986,7,5,16,4,0,n6_2
1987,18,25,29,14,0,n6_2,,1987,21,25,24,13,0,n6_2
1988,18,18,17,14,1,n6_2,,1988,18,16,15,9,1,n6_2
1989,12,18,21,9,0,n6_2,,1989,12,20,22,9,0,n6_2
1990,13,12,10,4,0,n6_2,,1990,10,14,10,2,1,n6_2
1991,21,22,13,15,0,n6_2,,1991,17,23,15,12,0,n6_2
1992,13,6,28,3,0,n6_2,,1992,10,8,29,3,0,n6_2
1993,14,21,21,11,0,n6_2,,1993,14,20,22,8,0,n6_2
1994,14,13,18,8,0,n6_2,,1994,15,13,20,7,0,n6_2
1995,17,13,26,8,1,n6_2,,1995,19,12,26,8,1,n6_2
1996,9,10,7,6,0,n6_2,,1996,8,13,5,5,0,n6_2
1997,15,12,17,8,0,n6_2,,1997,12,11,21,6,0,n6_2
1998,17,24,6,12,0,n6_2,,1998,19,25,7,10,0,n6_2
1999,11,15,16,8,0,n6_2,,1999,9,14,12,6,0,n6_2
2000,12,12,14,7,0,n6_2,,2000,8,14,15,4,0,n6_2
2001,5,8,5,3,0,n6_2,,2001,5,9,5,2,0,n6_2
2002,13,15,10,6,0,n6_2,,2002,9,16,10,4,0,n6_2
2003,31,24,9,17,0,n6_2,,2003,35,15,8,8,0,n6_2
2004,11,9,19,5,0,n6_2,,2004,14,10,20,6,1,n6_2
2005,25,8,9,5,0,n6_2,,2005,26,6,11,2,1,n6_2
2006,18,14,10,5,0,n6_2,,2006,18,13,10,3,0,n6_2
2007,21,16,3,7,0,n6_2,,2007,23,12,9,8,2,n6_2
2008,23,23,15,13,1,n6_2,,2008,23,22,18,13,0,n6_2
2009,14,10,8,5,1,n6_2,,2009,16,10,8,5,1,n6_2
2010,26,23,6,16,0,n6_2,,2010,23,20,4,11,0,n6_2
2011,19,24,18,13,0,n6_2,,2011,18,17,14,7,0,n6_2
2012,12,9,7,3,0,n6_2,,2012,14,7,7,1,0,n6_2
2013,39,17,29,8,12,n6_2,,2013,38,20,28,7,12,n6_2
2014,5,7,12,1,0,n6_2,,2014,4,9,7,1,0,n6_2
2015,9,16,27,8,0,n6_2,,2015,9,13,25,6,0,n6_2
2016,22,27,9,17,1,n6_2,,2016,20,28,11,14,0,n6_2
2017,34,21,5,12,1,n6_2,,2017,33,17,8,11,2,n6_2
2018,13,28,11,11,0,n6_2,,2018,14,26,10,10,0,n6_2
2019,10,14,16,5,0,n6_2,,2019,11,8,18,1,0,n6_2
2020,14,21,10,11,0,n6_2,,2020,14,26,4,8,0,n6_2
2021,19,27,6,11,0,n6_2,,2021,18,32,6,10,0,n6_2
2022,36,11,10,8,0,n6_2,,2022,39,12,10,7,0,n6_2
1981,12,16,13,7,0,p1_1,,1981,12,17,12,8,0,p1_1
1982,3,14,22,2,0,p1_1,,1982,3,13,21,1,0,p1_1
1983,21,12,14,3,8,p1_1,,1983,20,11,15,3,8,p1_1
1984,6,14,11,1,1,p1_1,,1984,7,15,12,2,1,p1_1
1985,2,7,15,1,0,p1_1,,1985,3,6,13,1,0,p1_1
1986,7,9,39,1,3,p1_1,,1986,8,9,36,0,3,p1_1
1987,7,19,21,2,0,p1_1,,1987,10,18,19,4,0,p1_1
1988,19,27,5,9,0,p1_1,,1988,19,27,5,9,0,p1_1
1989,21,14,20,7,1,p1_1,,1989,23,16,17,8,0,p1_1
1990,3,6,3,2,0,p1_1,,1990,3,9,3,2,0,p1_1
1991,27,8,16,2,0,p1_1,,1991,25,8,16,2,0,p1_1
1992,6,5,28,1,1,p1_1,,1992,6,7,26,2,0,p1_1
1993,10,20,14,1,0,p1_1,,1993,10,20,14,3,0,p1_1
1994,6,11,14,2,0,p1_1,,1994,8,8,15,2,0,p1_1
1995,18,22,13,11,0,p1_1,,1995,20,21,12,11,0,p1_1
1996,10,7,9,4,0,p1_1,,1996,10,10,8,4,0,p1_1
1997,3,12,19,2,0,p1_1,,1997,3,9,19,2,0,p1_1
1998,16,18,9,5,0,p1_1,,1998,15,18,9,3,0,p1_1
1999,7,23,5,2,0,p1_1,,1999,6,20,6,1,0,p1_1
2000,13,18,21,4,0,p1_1,,2000,15,18,25,5,0,p1_1
2001,7,14,7,2,0,p1_1,,2001,6,15,6,2,0,p1_1
2002,22,9,13,4,2,p1_1,,2002,19,7,13,3,3,p1_1
2003,25,11,14,1,3,p1_1,,2003,28,11,12,3,3,p1_1
2004,35,18,31,6,7,p1_1,,2004,31,18,33,4,5,p1_1
2005,16,13,8,4,0,p1_1,,2005,15,11,8,3,0,p1_1
2006,10,20,15,5,0,p1_1,,2006,10,21,17,5,0,p1_1
2007,25,14,7,8,2,p1_1,,2007,25,16,7,8,1,p1_1
2008,23,20,13,11,0,p1_1,,2008,24,18,13,11,0,p1_1
2009,17,14,14,5,1,p1_1,,2009,20,15,15,6,2,p1_1
2010,35,24,13,9,4,p1_1,,2010,28,25,12,8,1,p1_1
2011,25,12,6,6,0,p1_1,,2011,27,11,10,5,2,p1_1
2012,16,16,11,5,0,p1_1,,2012,14,13,10,5,0,p1_1
2013,21,25,13,14,0,p1_1,,2013,19,22,13,11,0,p1_1
2014,34,46,5,24,0,p1_1,,2014,25,51,6,21,0,p1_1
2015,28,28,10,14,0,p1_1,,2015,26,24,10,12,0,p1_1
2016,24,54,5,15,0,p1_1,,2016,25,46,5,16,0,p1_1
2017,49,24,9,13,6,p1_1,,2017,46,23,12,10,5,p1_1
2018,35,37,20,11,0,p1_1,,2018,37,32,20,13,1,p1_1
2019,22,40,15,17,0,p1_1,,2019,21,41,15,15,0,p1_1
2020,51,26,6,14,4,p1_1,,2020,48,21,3,10,1,p1_1
2021,47,38,12,22,4,p1_1,,2021,47,37,13,20,3,p1_1
2022,45,17,15,5,3,p1_1,,2022,46,16,13,6,1,p1_1
1981,11,20,14,8,0,p1_2,,1981,14,16,14,8,0,p1_2
1982,2,15,21,1,0,p1_2,,1982,3,13,21,1,0,p1_2
1983,26,13,15,3,11,p1_2,,1983,21,14,18,4,9,p1_2
1984,6,14,9,0,0,p1_2,,1984,6,15,13,1,1,p1_2
1985,2,9,13,1,0,p1_2,,1985,3,7,12,1,0,p1_2
1986,12,6,38,1,3,p1_2,,1986,6,7,34,0,3,p1_2
1987,5,15,23,2,0,p1_2,,1987,9,14,20,2,0,p1_2
1988,16,26,7,8,0,p1_2,,1988,20,26,6,9,0,p1_2
1989,21,13,18,7,0,p1_2,,1989,21,16,21,7,0,p1_2
1990,3,9,1,2,0,p1_2,,1990,3,11,2,2,0,p1_2
1991,34,11,18,4,2,p1_2,,1991,28,8,16,2,1,p1_2
1992,4,5,23,0,0,p1_2,,1992,7,8,25,1,1,p1_2
1993,13,18,15,2,0,p1_2,,1993,11,19,15,4,0,p1_2
1994,8,15,13,4,0,p1_2,,1994,8,9,14,3,0,p1_2
1995,17,18,15,6,0,p1_2,,1995,19,20,13,10,0,p1_2
1996,8,6,8,2,0,p1_2,,1996,9,8,10,3,0,p1_2
1997,4,15,22,2,0,p1_2,,1997,4,8,19,2,0,p1_2
1998,14,25,10,9,0,p1_2,,1998,16,22,8,7,0,p1_2
1999,4,20,5,2,0,p1_2,,1999,6,19,6,1,0,p1_2
2000,10,15,18,3,0,p1_2,,2000,16,14,22,4,0,p1_2
2001,10,15,7,2,0,p1_2,,2001,6,15,6,2,0,p1_2
2002,22,12,12,3,1,p1_2,,2002,19,12,13,3,2,p1_2
2003,24,9,12,2,2,p1_2,,2003,27,11,11,2,2,p1_2
2004,37,15,35,6,9,p1_2,,2004,33,17,29,5,6,p1_2
2005,17,12,7,6,0,p1_2,,2005,16,13,10,4,0,p1_2
2006,16,16,15,8,0,p1_2,,2006,14,20,13,6,0,p1_2
2007,24,15,3,9,1,p1_2,,2007,26,17,7,9,1,p1_2
2008,20,22,12,11,0,p1_2,,2008,21,22,13,10,0,p1_2
2009,17,16,15,5,0,p1_2,,2009,15,13,14,4,1,p1_2
2010,29,22,6,11,1,p1_2,,2010,30,24,12,10,1,p1_2
2011,21,16,9,6,0,p1_2,,2011,27,13,8,5,0,p1_2
2012,18,17,8,6,0,p1_2,,2012,15,17,11,5,0,p1_2
2013,22,28,14,15,1,p1_2,,2013,23,20,16,11,1,p1_2
2014,39,50,2,26,0,p1_2,,2014,26,44,5,18,0,p1_2
2015,29,33,11,20,0,p1_2,,2015,26,28,10,13,0,p1_2
2016,30,58,5,20,0,p1_2,,2016,23,51,5,15,0,p1_2
2017,57,25,6,17,3,p1_2,,2017,47,23,11,11,6,p1_2
2018,36,45,16,21,0,p1_2,,2018,36,38,17,15,0,p1_2
2019,20,44,17,16,0,p1_2,,2019,20,41,16,15,0,p1_2
2020,56,33,4,19,2,p1_2,,2020,48,24,5,12,3,p1_2
2021,50,33,7,27,3,p1_2,,2021,44,35,8,23,1,p1_2
2022,55,20,22,9,9,p1_2,,2022,46,16,20,4,5,p1_2
1981,9,12,8,4,0,q1,,1981,8,12,8,4,0,q1
1982,33,12,17,6,0,q1,,1982,30,14,17,5,0,q1
1983,6,12,10,3,0,q1,,1983,7,13,10,3,0,q1
1984,6,11,11,2,0,q1,,1984,6,14,11,2,0,q1
1985,10,9,12,1,1,q1,,1985,10,9,11,1,0,q1
1986,5,5,6,0,0,q1,,1986,4,6,7,0,0,q1
1987,5,10,18,2,0,q1,,1987,5,10,21,2,0,q1
1988,6,26,6,4,0,q1,,1988,7,27,6,4,0,q1
1989,6,10,15,3,0,q1,,1989,6,10,15,3,0,q1
1990,4,14,6,1,0,q1,,1990,4,13,6,1,0,q1
1991,6,20,17,4,0,q1,,1991,8,19,17,4,0,q1
1992,13,10,14,1,0,q1,,1992,12,10,14,1,0,q1
1993,3,12,2,2,0,q1,,1993,3,11,2,2,0,q1
1994,14,30,3,8,0,q1,,1994,16,31,3,7,0,q1
1995,9,14,16,3,0,q1,,1995,10,15,15,3,0,q1
1996,10,11,22,3,0,q1,,1996,10,10,23,3,0,q1
1997,14,9,19,2,2,q1,,1997,16,9,19,3,2,q1
1998,9,18,3,2,0,q1,,1998,9,21,4,4,0,q1
1999,25,17,16,10,0,q1,,1999,24,16,17,10,0,q1
2000,40,24,18,11,5,q1,,2000,38,22,16,11,5,q1
2001,30,8,22,0,1,q1,,2001,31,9,22,1,1,q1
2002,16,9,11,1,0,q1,,2002,18,8,12,1,0,q1
2003,9,7,20,0,0,q1,,2003,9,7,20,0,0,q1
2004,23,13,31,9,0,q1,,2004,22,13,31,8,0,q1
2005,13,26,8,8,0,q1,,2005,13,25,8,8,0,q1
2006,22,12,25,4,0,q1,,2006,24,10,25,4,0,q1
2007,31,13,26,4,1,q1,,2007,32,13,26,4,1,q1
2008,11,20,9,2,1,q1,,2008,10,20,8,2,0,q1
2009,13,5,21,0,1,q1,,2009,14,5,20,0,1,q1
2010,28,28,15,9,0,q1,,2010,29,27,15,8,0,q1
2011,10,18,10,3,0,q1,,2011,12,17,11,3,1,q1
2012,12,23,8,4,0,q1,,2012,13,22,8,5,0,q1
2013,8,20,7,1,0,q1,,2013,8,19,7,1,0,q1
2014,15,22,6,5,0,q1,,2014,15,22,6,5,0,q1
2015,9,24,7,0,0,q1,,2015,10,22,8,0,0,q1
2016,18,18,9,1,0,q1,,2016,23,21,10,2,0,q1
2017,30,14,30,5,4,q1,,2017,29,14,30,5,4,q1
2018,11,27,5,5,0,q1,,2018,11,24,5,5,0,q1
2019,13,20,6,7,0,q1,,2019,13,19,5,6,0,q1
2020,15,16,6,7,0,q1,,2020,15,18,6,7,0,q1
2021,6,42,2,5,0,q1,,2021,6,43,2,5,0,q1
2022,10,26,10,8,0,q1,,2022,10,28,11,7,0,q1
1981,20,15,26,8,1,q2,,1981,15,16,24,7,0,q2
1982,11,5,22,2,1,q2,,1982,10,4,23,1,0,q2
1983,13,22,18,6,1,q2,,1983,15,22,18,8,2,q2
1984,4,12,10,1,0,q2,,1984,2,10,10,1,0,q2
1985,1,7,8,0,0,q2,,1985,0,8,8,0,0,q2
1986,6,4,11,0,0,q2,,1986,6,5,9,1,0,q2
1987,6,15,7,3,0,q2,,1987,7,18,7,3,0,q2
1988,9,9,6,3,0,q2,,1988,10,12,7,5,0,q2
1989,15,6,25,0,1,q2,,1989,13,6,26,0,0,q2
1990,5,21,3,2,0,q2,,1990,4,21,3,2,0,q2
1991,8,15,8,2,0,q2,,1991,10,16,8,2,0,q2
1992,9,7,19,0,0,q2,,1992,8,5,18,0,0,q2
1993,3,10,15,1,0,q2,,1993,4,10,10,1,0,q2
1994,26,37,9,11,0,q2,,1994,21,38,10,10,0,q2
1995,2,8,18,0,0,q2,,1995,2,12,18,0,0,q2
1996,10,10,15,2,1,q2,,1996,6,11,16,2,0,q2
1997,36,16,21,9,5,q2,,1997,37,15,23,11,3,q2
1998,14,27,3,8,0,q2,,1998,12,26,3,7,0,q2
1999,27,13,17,7,0,q2,,1999,25,9,17,4,1,q2
2000,32,18,8,7,2,q2,,2000,39,19,8,10,2,q2
2001,25,14,8,1,0,q2,,2001,25,16,8,3,0,q2
2002,26,12,31,6,6,q2,,2002,26,13,32,8,4,q2
2003,5,8,13,1,0,q2,,2003,6,12,13,1,0,q2
2004,12,13,25,4,1,q2,,2004,13,10,23,4,1,q2
2005,25,24,14,11,1,q2,,2005,24,25,15,11,1,q2
2006,13,11,12,3,0,q2,,2006,15,13,12,4,0,q2
2007,30,14,14,4,0,q2,,2007,25,13,15,3,0,q2
2008,11,14,13,4,0,q2,,2008,12,14,14,6,0,q2
2009,18,7,20,1,1,q2,,2009,18,7,24,1,2,q2
2010,10,13,13,4,1,q2,,2010,10,16,15,4,1,q2
2011,5,8,21,0,0,q2,,2011,4,9,22,0,0,q2
2012,14,15,13,5,1,q2,,2012,15,11,13,3,1,q2
2013,27,23,9,11,0,q2,,2013,26,24,12,13,1,q2
2014,25,8,21,2,6,q2,,2014,26,4,23,1,5,q2
2015,20,9,23,1,2,q2,,2015,19,8,24,1,3,q2
2016,30,21,17,11,1,q2,,2016,28,24,16,14,0,q2
2017,31,39,24,18,1,q2,,2017,29,32,23,17,1,q2
2018,29,22,11,6,1,q2,,2018,29,24,11,5,0,q2
2019,27,16,18,6,2,q2,,2019,28,11,20,5,1,q2
2020,24,17,14,7,2,q2,,2020,23,13,15,5,2,q2
2021,5,17,11,2,1,q2,,2021,5,17,12,1,1,q2
2022,28,22,17,9,0,q2,,2022,27,23,16,9,0,q2
1981,17,5,37,2,4,q3_1,,1981,20,8,37,3,4,q3_1
1982,9,7,20,2,0,q3_1,,1982,12,8,18,3,0,q3_1
1983,20,21,17,10,0,q3_1,,1983,17,21,16,8,0,q3_1
1984,5,11,9,4,0,q3_1,,1984,6,16,8,4,0,q3_1
1985,1,5,1,1,0,q3_1,,1985,1,10,2,1,0,q3_1
1986,10,9,23,3,0,q3_1,,1986,9,9,20,3,0,q3_1
1987,5,10,19,3,0,q3_1,,1987,9,12,19,3,0,q3_1
1988,17,13,12,4,0,q3_1,,1988,19,12,10,3,0,q3_1
1989,8,3,22,0,1,q3_1,,1989,9,3,22,0,1,q3_1
1990,9,25,3,7,0,q3_1,,1990,10,30,3,8,0,q3_1
1991,10,11,9,2,0,q3_1,,1991,9,10,9,2,0,q3_1
1992,15,7,31,2,2,q3_1,,1992,16,8,32,2,3,q3_1
1993,3,7,13,2,0,q3_1,,1993,3,8,13,2,0,q3_1
1994,37,31,7,19,1,q3_1,,1994,36,31,9,19,2,q3_1
1995,10,13,17,7,0,q3_1,,1995,10,14,19,7,0,q3_1
1996,6,14,13,4,0,q3_1,,1996,6,14,10,4,0,q3_1
1997,26,15,27,6,3,q3_1,,1997,25,15,29,7,4,q3_1
1998,14,24,1,11,0,q3_1,,1998,13,23,1,10,0,q3_1
1999,20,13,6,9,0,q3_1,,1999,23,13,7,8,0,q3_1
2000,21,7,12,4,4,q3_1,,2000,20,9,13,4,3,q3_1
2001,17,12,10,6,1,q3_1,,2001,22,11,9,5,1,q3_1
2002,17,17,23,7,0,q3_1,,2002,17,11,21,5,0,q3_1
2003,6,8,21,3,0,q3_1,,2003,7,11,19,3,0,q3_1
2004,14,11,14,5,1,q3_1,,2004,12,10,12,4,1,q3_1
2005,18,20,14,8,0,q3_1,,2005,18,17,15,6,0,q3_1
2006,14,11,13,6,1,q3_1,,2006,14,13,12,6,1,q3_1
2007,23,23,10,11,0,q3_1,,2007,21,21,8,10,0,q3_1
2008,5,17,7,3,0,q3_1,,2008,6,19,7,5,0,q3_1
2009,19,11,21,4,3,q3_1,,2009,16,10,20,3,2,q3_1
2010,27,23,8,17,0,q3_1,,2010,26,24,11,17,0,q3_1
2011,7,11,13,4,0,q3_1,,2011,6,14,10,5,0,q3_1
2012,11,15,9,7,0,q3_1,,2012,13,11,10,6,0,q3_1
2013,39,41,8,24,0,q3_1,,2013,37,38,9,22,0,q3_1
2014,26,7,22,2,5,q3_1,,2014,26,6,25,2,7,q3_1
2015,23,3,16,1,4,q3_1,,2015,20,1,20,0,3,q3_1
2016,44,27,21,13,2,q3_1,,2016,41,22,24,10,4,q3_1
2017,47,24,15,18,1,q3_1,,2017,40,16,19,13,3,q3_1
2018,29,30,7,15,1,q3_1,,2018,28,29,8,13,1,q3_1
2019,38,14,20,6,3,q3_1,,2019,38,14,26,7,5,q3_1
2020,18,22,11,11,0,q3_1,,2020,16,17,8,6,0,q3_1
2021,18,15,8,8,0,q3_1,,2021,16,16,10,4,0,q3_1
2022,38,29,17,19,1,q3_1,,2022,37,27,19,16,2,q3_1
1981,11,10,32,2,3,q3_2,,1981,18,8,33,4,2,q3_2
1982,11,8,19,2,0,q3_2,,1982,13,7,18,3,0,q3_2
1983,19,20,17,9,0,q3_2,,1983,18,22,17,9,0,q3_2
1984,7,14,7,4,0,q3_2,,1984,9,16,8,6,0,q3_2
1985,1,7,2,1,0,q3_2,,1985,1,9,2,1,0,q3_2
1986,12,8,24,3,0,q3_2,,1986,11,8,23,3,0,q3_2
1987,6,10,18,2,0,q3_2,,1987,8,12,19,4,0,q3_2
1988,17,15,11,6,0,q3_2,,1988,15,15,12,6,0,q3_2
1989,9,3,22,2,2,q3_2,,1989,9,2,22,1,2,q3_2
1990,10,26,3,8,0,q3_2,,1990,11,30,3,9,0,q3_2
1991,8,9,10,2,0,q3_2,,1991,8,9,8,2,0,q3_2
1992,14,6,30,1,2,q3_2,,1992,14,7,29,1,2,q3_2
1993,3,8,17,1,0,q3_2,,1993,4,8,18,2,0,q3_2
1994,36,26,10,16,1,q3_2,,1994,36,29,9,16,1,q3_2
1995,10,10,15,6,0,q3_2,,1995,12,13,17,7,0,q3_2
1996,6,12,13,3,0,q3_2,,1996,6,14,14,3,0,q3_2
1997,21,13,26,7,1,q3_2,,1997,22,14,30,8,2,q3_2
1998,16,22,3,11,0,q3_2,,1998,15,25,1,11,0,q3_2
1999,15,13,7,6,0,q3_2,,1999,18,14,8,6,0,q3_2
2000,19,7,10,3,3,q3_2,,2000,18,7,13,2,4,q3_2
2001,20,14,9,6,2,q3_2,,2001,19,13,9,5,2,q3_2
2002,20,13,21,7,1,q3_2,,2002,18,12,23,4,0,q3_2
2003,6,11,18,3,0,q3_2,,2003,7,10,17,3,0,q3_2
2004,12,12,12,5,1,q3_2,,2004,12,8,12,4,1,q3_2
2005,21,20,12,8,0,q3_2,,2005,20,19,16,6,0,q3_2
2006,15,15,13,9,0,q3_2,,2006,15,10,12,6,1,q3_2
2007,24,24,9,14,0,q3_2,,2007,26,25,10,13,0,q3_2
2008,5,16,9,4,0,q3_2,,2008,3,16,10,3,0,q3_2
2009,20,10,16,4,1,q3_2,,2009,18,11,18,3,2,q3_2
2010,30,23,10,18,0,q3_2,,2010,27,20,9,15,0,q3_2
2011,8,14,13,7,0,q3_2,,2011,8,15,11,7,0,q3_2
2012,12,12,11,6,1,q3_2,,2012,11,11,11,5,0,q3_2
2013,38,36,7,22,0,q3_2,,2013,34,36,8,21,0,q3_2
2014,24,11,19,3,3,q3_2,,2014,24,9,24,3,5,q3_2
2015,18,6,14,1,2,q3_2,,2015,18,3,16,1,2,q3_2
2016,39,27,16,13,0,q3_2,,2016,35,26,19,11,0,q3_2
2017,47,20,18,13,1,q3_2,,2017,42,18,17,12,1,q3_2
2018,31,29,4,16,1,q3_2,,2018,28,29,6,13,1,q3_2
2019,26,12,18,4,1,q3_2,,2019,28,11,21,2,2,q3_2
2020,19,20,10,10,0,q3_2,,2020,19,16,10,7,0,q3_2
2021,18,16,9,9,0,q3_2,,2021,15,17,10,7,0,q3_2
2022,37,28,19,18,1,q3_2,,2022,37,28,18,17,1,q3_2
1981,6,22,13,6,0,q4,,1981,11,18,11,9,0,q4
1982,1,16,20,1,0,q4,,1982,3,13,23,1,0,q4
1983,18,12,15,2,8,q4,,1983,20,12,11,3,6,q4
1984,3,11,9,1,0,q4,,1984,5,15,14,1,0,q4
1985,2,7,7,1,0,q4,,1985,1,8,17,1,0,q4
1986,10,10,34,0,4,q4,,1986,10,12,35,1,3,q4
1987,8,19,22,4,0,q4,,1987,12,18,19,6,0,q4
1988,15,20,3,4,0,q4,,1988,19,28,5,8,0,q4
1989,18,17,22,4,1,q4,,1989,22,12,18,6,0,q4
1990,4,9,7,2,0,q4,,1990,4,9,7,3,0,q4
1991,27,10,16,3,1,q4,,1991,26,7,17,4,0,q4
1992,4,7,22,0,0,q4,,1992,8,6,24,3,0,q4
1993,11,18,13,2,0,q4,,1993,10,21,14,3,0,q4
1994,9,9,14,3,0,q4,,1994,7,9,14,2,0,q4
1995,18,22,16,6,0,q4,,1995,21,23,15,11,0,q4
1996,10,9,9,3,2,q4,,1996,10,8,9,4,0,q4
1997,2,10,18,1,0,q4,,1997,2,10,22,2,0,q4
1998,12,17,10,4,0,q4,,1998,17,15,10,2,0,q4
1999,5,19,4,2,0,q4,,1999,6,22,6,3,0,q4
2000,13,14,24,3,0,q4,,2000,14,18,25,4,0,q4
2001,11,13,7,4,1,q4,,2001,8,15,7,4,0,q4
2002,26,7,14,3,3,q4,,2002,20,8,14,4,2,q4
2003,27,7,12,2,3,q4,,2003,29,10,13,5,2,q4
2004,42,14,38,4,14,q4,,2004,31,18,29,3,4,q4
2005,17,11,9,5,2,q4,,2005,17,13,8,4,0,q4
2006,9,22,15,7,0,q4,,2006,8,25,16,6,0,q4
2007,28,18,6,11,3,q4,,2007,26,15,8,7,1,q4
2008,24,21,12,10,0,q4,,2008,26,16,12,11,0,q4
2009,28,17,15,4,1,q4,,2009,18,14,15,4,2,q4
2010,32,23,10,10,5,q4,,2010,29,24,11,9,1,q4
2011,36,9,10,6,2,q4,,2011,27,12,9,5,1,q4
2012,17,13,11,6,0,q4,,2012,15,15,7,6,0,q4
2013,14,31,11,12,0,q4,,2013,17,25,10,10,0,q4
2014,45,45,6,19,2,q4,,2014,28,48,6,23,0,q4
2015,35,27,15,18,3,q4,,2015,28,21,11,10,1,q4
